MeetingStartDt,MeetingEndDt,FirstNm,MiddleNm,LastNm,Title,Status,Affiliation
19360318,19360318,William,McC.,"Martin, Sr.",President,Alternate Member,St. Louis Reserve Bank
19360318,19360318,Oscar,$$,Newton,President,Alternate Member,Atlanta Reserve Bank
19360318,19360318,Roy,A.,Young,President,Alternate Member,Boston Reserve Bank
19360318,19360318,Joseph,A.,Broderick,Governor,Member,Office of Board Members
19360318,19360318,Marriner,S.,Eccles,Chairman,Member,Office of Board Members
19360318,19360318,Matthew,J.,Fleming,President,Member,Cleveland Reserve Bank
19360318,19360318,George,H.,Hamilton,President,Member,Kansas City Reserve Bank
19360318,19360318,George,L.,Harrison,Vice Chairman,Member,New York Reserve Bank
19360318,19360318,John,K.,McKee,Governor,Member,Office of Board Members
19360318,19360318,Buckner,A.,McKinney,President,Member,Dallas Reserve Bank
19360318,19360318,Ralph,W.,Morrison,Governor,Member,Office of Board Members
19360318,19360318,Ronald,$$,Ransom,Governor,Member,Office of Board Members
19360318,19360318,Menc,S.,Szymczak,Governor,Member,Office of Board Members
19360318,19360318,Hugh,$$,Leach,President,Non-Voting President,Richmond Reserve Bank
19360318,19360318,John,N.,Peyton,President,Non-Voting President,Minneapolis Reserve Bank
19360318,19360318,George,J.,Schaller,President,Non-Voting President,Chicago Reserve Bank
19360318,19360318,John,S.,Sinclair,President,Non-Voting President,Philadelphia Reserve Bank
19360318,19360318,San Francisco,$$,VACANT,President,Non-Voting President,San Francisco Reserve Bank
19360319,19360319,Oscar,$$,Newton,President,Alternate Member,Atlanta Reserve Bank
19360319,19360319,Roy,A.,Young,President,Alternate Member,Boston Reserve Bank
19360319,19360319,Joseph,A.,Broderick,Governor,Member,Office of Board Members
19360319,19360319,Marriner,S.,Eccles,Chairman,Member,Office of Board Members
19360319,19360319,Matthew,J.,Fleming,President,Member,Cleveland Reserve Bank
19360319,19360319,George,H.,Hamilton,President,Member,Kansas City Reserve Bank
19360319,19360319,George,L.,Harrison,Vice Chairman,Member,New York Reserve Bank
19360319,19360319,John,K.,McKee,Governor,Member,Office of Board Members
19360319,19360319,Buckner,A.,McKinney,President,Member,Dallas Reserve Bank
19360319,19360319,Ralph,W.,Morrison,Governor,Member,Office of Board Members
19360319,19360319,Ronald,$$,Ransom,Governor,Member,Office of Board Members
19360319,19360319,Menc,S.,Szymczak,Governor,Member,Office of Board Members
19360319,19360319,Hugh,$$,Leach,President,Non-Voting President,Richmond Reserve Bank
19360319,19360319,William,McC.,"Martin, Sr.",President,Non-Voting President,St. Louis Reserve Bank
19360319,19360319,John,N.,Peyton,President,Non-Voting President,Minneapolis Reserve Bank
19360319,19360319,George,J.,Schaller,President,Non-Voting President,Chicago Reserve Bank
19360319,19360319,John,S.,Sinclair,President,Non-Voting President,Philadelphia Reserve Bank
19360319,19360319,San Francisco,$$,VACANT,President,Non-Voting President,San Francisco Reserve Bank
19360525,19360525,William,McC.,"Martin, Sr.",President,Alternate Member,St. Louis Reserve Bank
19360525,19360525,Oscar,$$,Newton,President,Alternate Member,Atlanta Reserve Bank
19360525,19360525,Roy,A.,Young,President,Alternate Member,Boston Reserve Bank
19360525,19360525,Joseph,A.,Broderick,Governor,Member,Office of Board Members
19360525,19360525,Marriner,S.,Eccles,Chairman,Member,Office of Board Members
19360525,19360525,Matthew,J.,Fleming,President,Member,Cleveland Reserve Bank
19360525,19360525,George,H.,Hamilton,President,Member,Kansas City Reserve Bank
19360525,19360525,George,L.,Harrison,Vice Chairman,Member,New York Reserve Bank
